Codi_Sector_Activitat,Nom_Sector_Activitat,Codi_Grup_Activitat,Nom_Grup_Activitat,Codi_Activitat_2022,Nom_Activitat,Nom_Local,Latitud,Longitud,Direccio_Unica,Nom_Via
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,SN,41.372810269,2.159201056,"061107, 18-18, LOC 10",PEDRERES
2,Serveis,9,Ensenyament,9000000,Ensenyament,BE SIDE SCHOOL,41.372675411,2.158962339,"061107, 11-11, LOC 10",PEDRERES
2,Serveis,16,Altres,1600400,Serveis a les empreses i oficines,LA BOTANICA,41.372537534,2.169823945,"052900, 33-33, LOC 10",CABANES
2,Serveis,16,Altres,1600600,Perruqueries,STYLE N 1,41.374209147,2.163860053,"195500, 11-11, LOC 10",MARGARIT
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400003,Serveis de menjar take away MENJAR RÀPID,SOL DE ISTAMBUL,41.374804919,2.157208174,"198804, 153-153, LOC 10",AV PARAL·LEL
1,Comerç al detall,1,Quotidià alimentari,1000020,Autoservei / Supermercat,SUPER ALIMENTACIÓ,41.374805926,2.157139778,"198804, 153-153, LOC 20",AV PARAL·LEL
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400003,Serveis de menjar take away MENJAR RÀPID,KFC,41.374785798,2.166422904,"198804, 83-83, LOC 10",AV PARAL·LEL
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,EL CARRO GROS,41.372220517,2.162661105,"043309, 14-14, LOC 20",PL SORTIDOR
2,Serveis,10,Equipaments culturals i recreatius,1111111,Equipaments culturals i recreatius,STUDIO M41,41.372200389,2.162785828,"189202, 41-41, LOC 10",MAGALHAES
2,Serveis,14,"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",1400001,Bars   / CIBERCAFÈ,QUIMET & QUIMET,41.373945476,2.165564597,"261004, 25-25, LOC 10",POETA CABANYES
2,Serveis,9,Ensenyament,9000000,Ensenyament,ESCOLA DE DONES I NENS FAIZAN E SAHABIYAT,41.374260472,2.166579813,"294207, 9-9, LOC 10",SALVÀ
2,Serveis,16,Altres,1600102,Activitats emmagatzematge,SN,41.371609625,2.166412175,"086902, 176-176, LOC 20",NOU DE LA RAMBLA
1,Comerç al detall,5,Oci i cultura,5000000,Informàtica,HAIDER MOBILS,41.372881723,2.156054825,"230703, 49-49, LOC 10",MARE DE DÉU DEL REMEI
3,Altres,17,Altres,1700310,Gimnàs /fitnes,BEYOND FORGET YOUR LIMITS,41.371614656,2.166158706,"189202, 2-4, LOC 10",MAGALHAES
1,Comerç al detall,7,Altres,7003020,Fotografia,CONCHITA,41.373590223,2.162937373,"043207, 31-31, LOC 10",BLASCO DE GARAY
